,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2014-03-25 20:00:00,0.0413565831229,0.01276013423,0.0541962097356,0.00933801323333,0.121622990812,0.0559181257838,-50878.648436,-248.514571005,101524.527994,101524.527994,-0.01473986577,1.00245383445,0.00440357156232,101524.527994,101524.527994,1,-0.01287685171,0.497428307615,1.00245383445,"[{'status': 1, 'created': Timestamp('2014-03-24 20:00:00+0000', tz='UTC'), 'limit_reached': False, 'stop': None, 'amount': 686, 'stop_reached': False, 'commission': 5.145, 'reason': None, 'limit': None, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL'), 'dt': Timestamp('2014-03-25 20:00:00+0000', tz='UTC'), 'id': '0c8713ae5fa14597926789c83c5d008d', 'filled': 686}]",2014-03-25 20:00:00+00:00,2014-03,2014-03-25 13:31:00+00:00,533.901138998,101276.013423,"[{'amount': 1369, 'last_sale_price': 74.159626000000003, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00529968180032,1.37588088004,0,0,0,2.23477924808,50630.133865,50111.978419,50111.978419,57,"[{'commission': None, 'amount': 686, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL'), 'order_id': '0c8713ae5fa14597926789c83c5d008d', 'price': 74.159626000003499, 'dt': Timestamp('2014-03-25 20:00:00+0000', tz='UTC')}]",0.0275
2014-03-26 20:00:00,0.0458084106176,0.00305458134995,0.0129835951844,0.00227232467375,0.121480022843,0.0758375923688,0.0,-248.514571005,100553.972706,100553.972706,-0.02404541865,1.00247757775,-0.00148558354623,100553.972706,100553.972706,1,-0.01287685171,0.497428307615,1.00247757775,[],2014-03-26 20:00:00+00:00,2014-03,2014-03-26 13:31:00+00:00,-970.555288,100305.458135,"[{'amount': 1369, 'last_sale_price': 73.450673999999992, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00958326908018,0.311798981456,0,0,0,0.443718391609,-248.514571005,101524.527994,101524.527994,58,[],0.0271
2014-03-27 20:00:00,0.0462992937334,-0.00126726951005,-0.00504551862038,0.00036792291837,0.120496895373,0.0782784997208,0.0,-248.514571005,100121.78762,100121.78762,-0.02816726951,1.00248829906,-0.00687426274958,100121.78762,100121.78762,1,-0.0138506673652,0.497428307615,1.00248829906,[],2014-03-27 20:00:00+00:00,2014-03,2014-03-27 13:31:00+00:00,-432.185086,99873.273049,"[{'amount': 1369, 'last_sale_price': 73.134979999999999, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00430868961705,-0.0942192754592,0,0,0,-0.131654355502,-248.514571005,100553.972706,100553.972706,59,[],0.0269
2014-03-28 20:00:00,0.0459607564673,-0.00238501694005,-0.0111321989573,0.00500985201748,0.119843633618,0.0763089700066,0.0,-248.514571005,100010.012877,100010.012877,-0.02968501694,1.00249108699,-0.01953518221,100010.012877,100010.012877,1,-0.0149543318878,0.497428307615,1.00249108699,[],2014-03-28 20:00:00+00:00,2014-03,2014-03-28 13:31:00+00:00,-111.774743,99761.498306,"[{'amount': 1369, 'last_sale_price': 73.053332999999995, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00111916571459,-0.195603332864,0,0,0,-0.272947169621,-248.514571005,100121.78762,100121.78762,60,[],0.0273
2014-03-31 20:00:00,0.0455777497936,-0.00260857464005,-0.0142671780166,0.012973652965,0.119896956423,0.0745473895683,0.0,-248.514571005,99987.657107,99987.657107,-0.02990857464,1.00249164535,-0.0369236520833,99987.657107,99987.657107,1,-0.0151750729028,0.497428307615,1.00249164535,[],2014-03-31 20:00:00+00:00,2014-03,2014-03-31 13:31:00+00:00,-22.35577,99739.142536,"[{'amount': 1369, 'last_sale_price': 73.037002999999999, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.000224092163606,-0.214325118439,0,0,0,-0.299011718088,-248.514571005,100010.012877,100010.012877,61,[],0.0273
2014-04-01 20:00:00,0.0488671837781,0.00653815243995,0.0196272346619,0.0201043277832,0.119697770238,0.0913347247187,0.0,-248.514571005,100902.329815,100902.329815,-0.02116184756,1.00246900299,-0.0320030392718,100902.329815,100902.329815,1,-0.0151750729028,0.497428307615,1.00246900299,[],2014-04-01 20:00:00+00:00,2014-04,2014-04-01 13:31:00+00:00,914.672708,100653.815244,"[{'amount': 1369, 'last_sale_price': 73.705134999999999, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00917064940347,0.566092608671,0,0,0,0.85368564573,-248.514571005,99987.657107,99987.657107,62,[],0.0277
2014-04-02 20:00:00,0.0485712763659,0.00821472566995,0.0248437316647,0.023015018365,0.11883412901,0.0922761278885,0.0,-248.514571005,101069.987138,101069.987138,-0.01998527433,1.00246489726,-0.034288645476,101069.987138,101069.987138,1,-0.0151750729028,0.497428307615,1.00246489726,[],2014-04-02 20:00:00+00:00,2014-04,2014-04-02 13:31:00+00:00,167.657323,100821.472567,"[{'amount': 1369, 'last_sale_price': 73.827601999999999, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.00166568274231,0.697675338798,0,0,0,1.05414535964,-248.514571005,100902.329815,100902.329815,63,[],0.0282
2014-04-03 20:00:00,0.0501915556079,0.00121037406995,-0.00276421835431,0.0218626432772,0.117925570654,0.0952546200726,0.0,-248.514571005,100369.551978,100369.551978,-0.02678962593,1.00248214139,-0.0461739532367,100369.551978,100369.551978,1,-0.0151750729028,0.497428307615,1.00248214139,[],2014-04-03 20:00:00+00:00,2014-04,2014-04-03 13:31:00+00:00,-700.43516,100121.037407,"[{'amount': 1369, 'last_sale_price': 73.315961999999999, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00694728158761,0.119593351543,0,0,0,0.172755729688,-248.514571005,101069.987138,101069.987138,64,[],0.028
2014-04-04 20:00:00,0.0559844026765,-0.01177379691,-0.0500941286744,0.00905125686318,0.119727030076,0.136303847105,0.0,-248.514571005,99071.13488,99071.13488,-0.03917379691,1.00251475391,-0.0467272160413,99071.13488,99071.13488,1,-0.0242248191954,0.497428307615,1.00251475391,[],2014-04-04 20:00:00+00:00,2014-04,2014-04-04 13:31:00+00:00,-1298.417098,98822.620309,"[{'amount': 1369, 'last_sale_price': 72.367519999999999, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.012968474275,-0.792498375304,0,0,0,-1.03411608314,-248.514571005,100369.551978,100369.551978,65,[],0.0274
2014-04-07 20:00:00,0.063332294149,-0.02732884037,-0.103853325221,-0.00179615768957,0.120702403962,0.176576468096,0.0,-248.514571005,97515.630534,97515.630534,-0.05442884037,1.00255497008,-0.0565900637261,97515.630534,97515.630534,1,-0.0395838789907,0.497428307615,1.00255497008,[],2014-04-07 20:00:00+00:00,2014-04,2014-04-07 13:31:00+00:00,-1555.504346,97267.115963,"[{'amount': 1369, 'last_sale_price': 71.231285999999997, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.0157403673485,-1.63889368609,0,0,0,-1.97611784308,-248.514571005,99071.13488,99071.13488,66,[],0.0271
2014-04-08 20:00:00,0.0628544329527,-0.0273846545,-0.105005642266,0.00194765956256,0.120004988264,0.176275339772,0.0,-248.514571005,97510.049121,97510.049121,-0.0542846545,1.0025551167,-0.0639115591684,97510.049121,97510.049121,1,-0.0396389898982,0.497428307615,1.0025551167,[],2014-04-08 20:00:00+00:00,2014-04,2014-04-08 13:31:00+00:00,-5.58141299999,97261.53455,"[{'amount': 1369, 'last_sale_price': 71.227209000000002, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-5.73823223269e-05,-1.63014032064,0,0,0,-1.96545083064,-248.514571005,97515.630534,97515.630534,67,[],0.0269
2014-04-09 20:00:00,0.0676427482582,-0.01456811757,-0.063516276457,0.0128871373505,0.120927250815,0.208394335239,0.0,-248.514571005,98791.702814,98791.702814,-0.04166811757,1.00252188482,-0.0587731634585,98791.702814,98791.702814,1,-0.0396389898982,0.497428307615,1.00252188482,[],2014-04-09 20:00:00+00:00,2014-04,2014-04-09 13:31:00+00:00,1281.653693,98543.188243,"[{'amount': 1369, 'last_sale_price': 72.163406000000009, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",0.0131773953488,-0.77053169061,0,0,0,-1.00723332378,-248.514571005,97510.049121,97510.049121,68,[],0.0271
2014-04-10 20:00:00,0.071410791738,-0.02731013983,-0.0930287217589,-0.00826680361195,0.12662783982,0.248412065592,0.0,-248.514571005,97517.500588,97517.500588,-0.05381013983,1.00255492096,-0.0418333149468,97517.500588,97517.500588,1,-0.0396389898982,0.497428307615,1.00255492096,[],2014-04-10 20:00:00+00:00,2014-04,2014-04-10 13:31:00+00:00,-1274.202226,97268.986017,"[{'amount': 1369, 'last_sale_price': 71.232652000000002, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.0129303937565,-1.38059739217,0,0,0,-1.7295010623,-248.514571005,98791.702814,98791.702814,69,[],0.0265
2014-04-11 20:00:00,0.0721320242649,-0.03451943073,-0.109345129044,-0.0176751521702,0.126965274501,0.258246735116,0.0,-248.514571005,96796.571498,96796.571498,-0.06081943073,1.00257399868,-0.0373775563113,96796.571498,96796.571498,1,-0.0466838724808,1.00257399868,1.00257399868,[],2014-04-11 20:00:00+00:00,2014-04,2014-04-11 13:31:00+00:00,-720.92909,96548.056927,"[{'amount': 1369, 'last_sale_price': 70.706042000000011, 'cost_basis': 73.227548992698843, 'sid': Equity(0, symbol=u'AAPL', asset_name='', exchange=u'TEST', start_date=Timestamp('2014-01-02 00:00:00+0000', tz='UTC'), end_date=Timestamp('2014-12-31 00:00:00+0000', tz='UTC'), first_traded=None, auto_close_date=None, exchange_full=u'TEST FULL')}]",-0.00741170561677,-1.7171744748,0,0,0,-2.12396734751,-248.514571005,97517.500588,97517.500588,70,[],0.0263
